Producto;Ingrediente activo;Form.;Uso Agricola;Reg. ICA;Cat. Tox.;Cultivo;Nombre común;Nombre científico;Dosis;PC ;PR ;Grupo;Subgrupo;Grupo;Subgrupo;;;;
ACERRADO® 20 EC;Cipermetrina;EC;Insecticida;473;II;Papa ;Pulguilla;Epitrix cucumeris;250 cc/ha;7 días;12 horas;;;;;;;;
ACROBAT® MZ 69% WP;Mancozeb + Dimetomorf;WP;Fungicida;2600;III;Papa;Gota;Phytophthora infestans;1.8 - 2.4 kg/ha;7 días;Al secarse el follaje;;;;;;;;
ACROBAT® MZ 69% WP;Mancozeb + Dimetomorf;WP;Fungicida;2600;III;Tomate;Gota;Phytophthora infestans;1.8 - 2.4 kg/ha;7 días;Al secarse el follaje;;;;;;;;
ACROBAT® MZ 69% WP;Mancozeb + Dimetomorf;WP;Fungicida;2600;III;Rosas;Mildeo velloso   ;Peronospora sparsa;2 g/L;N.A.;Al secarse el follaje;;;;;;;;
ACROBAT® MZ 69% WP;Mancozeb + Dimetomorf;WP;Fungicida;2600;III;Melón;Mildeo velloso   ;Pseudoperonospora cubensis;1.8 - 2.25 kg/ha;7 días;Al secarse el follaje;;;;;;;;
ACROBAT® MZ 69% WP;Mancozeb + Dimetomorf;WP;Fungicida;2600;III;Uva;Mildeo  ;Plasmopara viticola;1.8 - 2.25 kg/ha;14 días;Al secarse el follaje;;;;;;;;
ACROBAT® MZ 69% WP;Mancozeb + Dimetomorf;WP;Fungicida;2600;III;Cebolla;Cenicilla;Peronospora destructor;1.8 - 2.25 kg/ha;7 días;Al secarse el follaje;;;;;;;;
ACROBAT® MZ 69% WP;Mancozeb + Dimetomorf;WP;Fungicida;2600;III;Cebolla;Mancha púrpura;Alternaria porri;1.8 - 2.25 kg/ha;7 días;Al secarse el follaje;;;;;;;;
ACRONIS TOP® FS;Piraclostrobin + Fipronil + Metil tiofanato;SC;Fungicida - Insecticida;1770;II;Maíz;Eutheola;Eutheola bidentata;375 cc/100 kg de semilla seca;N.A.;N.A.;;;;;;;;
ACRONIS TOP® FS;Piraclostrobin + Fipronil + Metil tiofanato;SC;Fungicida - Insecticida;1770;II;Maíz;Gryllotalpa;Gryllotalpa hexadactyla;250 cc/100 kg de semilla seca;N.A.;N.A.;;;;;;;;
ACRONIS TOP® FS;Piraclostrobin + Fipronil + Metil tiofanato;SC;Fungicida - Insecticida;1770;II;Maíz;Fusarium;Fusarium spp.;250 cc/100 kg de semilla seca;N.A.;N.A.;;;;;;;;
ACRONIS TOP® FS;Piraclostrobin + Fipronil + Metil tiofanato;SC;Fungicida - Insecticida;1770;II;Maíz;Pythium;Pythium spp.;250 cc/100 kg de semilla seca;N.A.;N.A.;;;;;;;;
ACRONIS TOP® FS;Piraclostrobin + Fipronil + Metil tiofanato;SC;Fungicida - Insecticida;1770;II;Maíz;Rhizoctonia;Rhizoctonia solani;250 cc/100 kg de semilla seca;N.A.;N.A.;;;;;;;;
ACRONIS TOP® FS;Piraclostrobin + Fipronil + Metil tiofanato;SC;Fungicida - Insecticida;1770;II;Soya;Fusarium;Fusarium moniliforme;250 cc/100 kg de semilla seca;N.A.;N.A.;;;;;;;;
ACRONIS TOP® FS;Piraclostrobin + Fipronil + Metil tiofanato;SC;Fungicida - Insecticida;1770;II;Soya;Gryllotalpa;Gryllotalpa hexadactyla;200 cc/100 kg de semilla seca;N.A.;N.A.;;;;;;;;
ACRONIS TOP® FS;Piraclostrobin + Fipronil + Metil tiofanato;SC;Fungicida - Insecticida;1770;II;Arroz;Gryllotalpa;Gryllotalpa hexadactyla;100 cc/100 kg de semilla seca;N.A.;N.A.;;;;;;;;
ACROSS® 25 EC;Difenoconazol;EC;Fungicida;0518;II;Rosas;Mieldeo polvoso;Sphaerotheca pannosa;0.6 cc/L;N.A.;6 horas;;;;;;;;
ACROSS® 25 EC;Difenoconazol;EC;Fungicida;0518;II;Cebolla de bulbo;Mancha púrpura;Alternaria porri;0.5 L/ha;7 días;6 horas;;;;;;;;
ACTARA® 25 WG;Tiametoxam;WG;Insecticida;3391;III;Arroz;Chinche;Oebalus sp.;75 - 100 g/ha;14 días;SIN INFO;;;;;;;;
ACTARA® 25 WG;Tiametoxam;WG;Insecticida;3391;III;Arroz;Sogata;Tagosodes orizicolus;50 - 75 g/ha;14 días;SIN INFO;;;;;;;;
ACTARA® 25 WG;Tiametoxam;WG;Insecticida;3391;III;Arroz;Minador de la hoja;Hydrellia sp.;50 - 75 g/ha;14 días;SIN INFO;;;;;;;;
ACTARA® 25 WG;Tiametoxam;WG;Insecticida;3391;III;Algodón;Picudo;Anthonomus grandis;150 g/ha;N.A.;SIN INFO;;;;;;;;
ACTARA® 25 WG;Tiametoxam;WG;Insecticida;3391;III;Algodón;Mosca blanca;Bemisia tabaci;200 g/ha;N.A.;SIN INFO;;;;;;;;
ACTARA® 25 WG;Tiametoxam;WG;Insecticida;3391;III;Tomate;Mosca blanca;Trialeurodes vaporariorum;300 - 400 g/ha;3 días;SIN INFO;;;;;;;;
ACTARA® 25 WG;Tiametoxam;WG;Insecticida;3391;III;Tomate;Prodiplosis;Prodiplosis longifila;600 - 700 g/ha;3 días;;;;;;;;;
ACTARA® 25 WG;Tiametoxam;WG;Insecticida;3391;III;Tomate;Mosca blanca (en semillero);Bemisia tabaci;40 g/1000 plantas;3 días;;;;;;;;;
ACTARA® 25 WG;Tiametoxam;WG;Insecticida;3391;III;Papa;Pulguilla de la papa;Epitrix sp.;75 g/ha;7 días;;;;;;;;;
ACTARA® 25 WG;Tiametoxam;WG;Insecticida;3391;III;Habichuela;Mosca blanca;Trialeurodes vaporariorum;400 g/ha;14 días;;;;;;;;;
ACTARA® 25 WG;Tiametoxam;WG;Insecticida;3391;III;Palma de aceite;Chinche de encaje;Leptopharsa gibbicarina;100 - 200 g/ha (0.7 - 1.4 g/palma);60 días;;;;;;;;;
ACTARA® 25 WG;Tiametoxam;WG;Insecticida;3391;III;Rosas;Áfidos;Macrosiphum rosae;75 g/ha;N.A.;;;;;;;;;
ACTARA® 25 WG;Tiametoxam;WG;Insecticida;3391;III;Rosas;Áfidos;Myzus persicae;75 g/ha;N.A.;;;;;;;;;
ACTARA® 25 WG;Tiametoxam;WG;Insecticida;3391;III;Pastos;Chinche de los pastos;Collaria sp.;75 g/ha;21 días;;;;;;;;;
ACTARA® 25 WG;Tiametoxam;WG;Insecticida;3391;III;Tabaco;Pulgilla;Epitrix sp.;400 g/ha;21 días;;;;;;;;;
ACTARA® 25 WG;Tiametoxam;WG;Insecticida;3391;III;Tomate de árbol;Áfidos;Myzus persicae;83 - 166 g/ha (0.1 g/L);3 días;;;;;;;;;
ACTARA® 25 WG;Tiametoxam;WG;Insecticida;3391;III;Tomate de árbol;Áfidos;Aphis rumissis;83 - 166 g/ha (0.1 g/L);3 días;;;;;;;;;
ACTARA® 25 WG;Tiametoxam;WG;Insecticida;3391;III;Uchuva;Mosca blanca;Trialeurodes vaporariorum;400 g/ha;3 días;;;;;;;;;
ACTARA® 25 WG;Tiametoxam;WG;Insecticida;3391;III;Clavel;Áfidos;Myzus persicae;100 g/ha (0.1 g/L);N.A.;;;;;;;;;
ACTARA® 25 WG;Tiametoxam;WG;Insecticida;3391;III;Melón;Mosca blanca;Bemisia tabaci;400 g/ha;3 días;;;;;;;;;
ACTARA® 25 WG;Tiametoxam;WG;Insecticida;3391;III;Repollo;Áfidos;Brevicoryne brassicae;50 g/ha;7 días;;;;;;;;;
ACTARA® 25 WG;Tiametoxam;WG;Insecticida;3391;III;Caña;Salivazo;Aeneolamia varia;200 g/ha;N.A.;;;;;;;;;
ACTELLIC® 50 EC;Pirimifos metil;EC;Insecticida;1186;III;Granos almacenados;Gorgojo de los cereales;Sitophilus spp.;100 cc/3 a 15 L de agua por cada 100 m2 de superfice de grano almacenado;7 días;Al secarse   ;;;;;;;;
ACTELLIC® 50 EC;Pirimifos metil;EC;Insecticida;1186;III;Crisantemo;Ácaros;Tetranichus spp.;1.25 cc/L;N.A.;Al secarse   ;;;;;;;;
ACTELLIC® 50 EC;Pirimifos metil;EC;Insecticida;1186;III;Crisantemo;Trips;Frankliniella occidentallis;1 cc/L;N.A.;Al secarse   ;;;;;;;;
ACTELLIC® 50 EC;Pirimifos metil;EC;Insecticida;1186;III;Pompón;Ácaros;Tetranichus spp.;1.25 cc/L;N.A.;Al secarse   ;;;;;;;;
ACTELLIC® 50 EC;Pirimifos metil;EC;Insecticida;1186;III;Pompón;Trips;Frankliniella occidentallis;1 cc/L;N.A.;Al secarse   ;;;;;;;;
ACTELLIC® 50 EC;Pirimifos metil;EC;Insecticida;1186;III;Clavel;Trips;Frankliniella occidentallis;1 cc/L;N.A.;Al secarse   ;;;;;;;;
ACTELLIC® 50 EC;Pirimifos metil;EC;Insecticida;1186;III;Clavel;Ácaros;Tetranichus cinnabarinus;1 cc/L;N.A.;Al secarse   ;;;;;;;;
ACTUP;Tiametoxam;WG;Insecticida;579;III;Rosas;Trips;Frankliniella occidentallis;0.3 g/L ó 0.45 kg/ha;N.A.;12 horas;;;;;;;;
ACTUP;Tiametoxam;WG;Insecticida;579;III;Pastos;Chinche;Collaria columbiensis;70 g/ha;21 días;12 horas;;;;;;;;
ACTUP;Tiametoxam;WG;Insecticida;579;III;Arroz;Chinche;Oebalus insularis;75 g/ha;7 días;12 horas;;;;;;;;
ACTUP;Tiametoxam;WG;Insecticida;579;III;Tomate;Mosca blanca;Trialeurodes vaporariorum;300 - 200 g/ha;7 días;12 horas;;;;;;;;
ACUAFIN® 440 EW;Malation;EW;Insecticida;4387;III;Rosas;Trips;Frankliniella occidentallis;1.3 - 1.5 cc/L;N.A.;12 horas;;;;;;;;
ACUAFIN® 440 EW;Malation;EW;Insecticida;4387;III;Arroz;Cogollero;Spodoptera frugiperda;2.0 - 2.5 L/ha;7 días;12 horas;;;;;;;;
ACUAFIN® 440 EW;Malation;EW;Insecticida;4387;III;Tomate;Mosca blanca;Trialeurodes vaporariorum;2.0 L/ha;7 días;12 horas;;;;;;;;
ACUAFIN® 440 EW;Malation;EW;Insecticida;4387;III;Uchuva;Mosca blanca;Trialeurodes vaporariorum;2.0 L/ha;7 días;12 horas;;;;;;;;
ACUAFIN® 440 EW;Malation;EW;Insecticida;4387;III;Lulo;Mosca blanca;Trialeurodes vaporariorum;2.0 L/ha;7 días;12 horas;;;;;;;;
ACUAFIN® 440 EW;Malation;EW;Insecticida;4387;III;Tomate de árbol;Mosca blanca;Trialeurodes vaporariorum;2.0 L/ha;7 días;12 horas;;;;;;;;
ACUAFIN® 440 EW;Malation;EW;Insecticida;4387;III;Ají ;Mosca blanca;Trialeurodes vaporariorum;2.0 L/ha;7 días;12 horas;;;;;;;;
ACUAFIN® 440 EW;Malation;EW;Insecticida;4387;III;Pimentón;Mosca blanca;Trialeurodes vaporariorum;2.0 L/ha;7 días;12 horas;;;;;;;;
ACUAFIN® 440 EW;Malation;EW;Insecticida;4387;III;Berenjena;Mosca blanca;Trialeurodes vaporariorum;2.0 L/ha;7 días;12 horas;;;;;;;;
ACUAFIN® 440 EW;Malation;EW;Insecticida;4387;III;Ají dulce;Mosca blanca;Trialeurodes vaporariorum;2.0 L/ha;7 días;12 horas;;;;;;;;
ACUAFIN® 440 EW;Malation;EW;Insecticida;4387;III;Cebolla de bulbo;Trips;Thrips tabaci;1.0 L/ha;3 días;12 horas;;;;;;;;
ACUAFIN® 440 EW;Malation;EW;Insecticida;4387;III;Cebolla larga;Trips;Thrips tabaci;1.0 L/ha;3 días;12 horas;;;;;;;;
ACUAFIN® 440 EW;Malation;EW;Insecticida;4387;III;Cebollín chino;Trips;Thrips tabaci;1.0 L/ha;3 días;12 horas;;;;;;;;
ACUAFIN® 440 EW;Malation;EW;Insecticida;4387;III;Puerro;Trips;Thrips tabaci;1.0 L/ha;3 días;12 horas;;;;;;;;
ADALTO 720 SC;Clorotalonil;SC;Fungicida;1254;II;Papa;Gota;Phytophthora infestans;0.8 - 1.3 L/ha;7 días;6 horas;;;;;;;;
ADALTO 720 SC;Clorotalonil;SC;Fungicida;1254;II;Tomate;Gota;Phytophthora infestans;2 L/ha;7 días;6 horas;;;;;;;;
ADALTO 720 SC;Clorotalonil;SC;Fungicida;1254;II;Banano;Sigatoka negra;Mycosphaerella fijiensis;1.5 L/ha;0 días;2 horas;;;;;;;;
ADEXAR® EC;Fluxapiroxad + Epoxiconazol;EC;Fungicida;1679;II;Arroz;Añublo de la vaina;Rhizoctonia solani;1.0 L/ha;20 días;6 horas;;;;;;;;
ADEXAR® EC;Fluxapiroxad + Epoxiconazol;EC;Fungicida;1679;II;Arroz;Pudrición de la vaina;Sarocladium oryzae;1.0 L/ha;20 días;6 horas;;;;;;;;
ADEXAR® EC;Fluxapiroxad + Epoxiconazol;EC;Fungicida;1679;II;Arroz;Mancha naranja;Gaeumannomyces graminis;1.0 L/ha;20 días;6 horas;;;;;;;;
AFOL 250 SC;Flutriafol;SC;Fungicida;1790;II;Arroz;Complejo manchado de grano;Cladosporium spp.;0.4 L/ha;15 días;12 horas;;;;;;;;
AFOL 250 SC;Flutriafol;SC;Fungicida;1790;II;Arroz;Complejo manchado de grano;Curvularia spp.;0.4 L/ha;15 días;12 horas;;;;;;;;
AFOL 250 SC;Flutriafol;SC;Fungicida;1790;II;Arroz;Complejo manchado de grano;Nigrospora spp.;0.4 L/ha;15 días;12 horas;;;;;;;;
AFOL 250 SC;Flutriafol;SC;Fungicida;1790;II;Arroz;Complejo manchado de grano;Fusarium spp.;0.4 L/ha;15 días;12 horas;;;;;;;;
AGRIFOS® 400 SL;Fosfito de Potasio (monopotásico y dipotásico);SL;Fungicida;4116;III;Arroz;Añublo de la vaina;Rhizoctonia solani;3.0 - 3.5 L/ha;SIN INFO;SIN INFO;;;;;;;;
AGRIFOS® 400 SL;Fosfito de Potasio (monopotásico y dipotásico);SL;Fungicida;4116;III;Cebolla;Mildeo velloso   ;Peronospora destructor;1 L/200 L de agua;SIN INFO;SIN INFO;;;;;;;;
AGRIFOS® 400 SL;Fosfito de Potasio (monopotásico y dipotásico);SL;Fungicida;4116;III;Papa;Gota;Phytophthora infestans;1 L/200 L de agua;SIN INFO;SIN INFO;;;;;;;;
AGRIFOS® 400 SL;Fosfito de Potasio (monopotásico y dipotásico);SL;Fungicida;4116;III;Rosas;Mildeo velloso   ;Peronospora sparsa;4 - 5 cc/L;SIN INFO;SIN INFO;;;;;;;;
AGRIFOS® 400 SL;Fosfito de Potasio (monopotásico y dipotásico);SL;Fungicida;4116;III;Aguacate;Pudrición radicular;Phytophthora cinnamomi;7.5 cc/metro de diámetro de copa de árbol (inyectado);SIN INFO;SIN INFO;;;;;;;;
AGRIPYR 400 SC;Pirimetanil;SC;Fungicida;1568;III;Banano;Sigatoka negra;Mycosphaerella fijiensis;0.75 - 1.0 L/ha;0 días;4 horas;;;;;;;;
AGRIPYR 400 SC;Pirimetanil;SC;Fungicida;1568;III;Ornamentales;Mildeo polvoso;Sphaerotheca pannosa;2.25 L/ha;N.A.;4 horas;;;;;;;;
AGUILA TM WG;Metiram;WG;Fungicida;0214;III;Arroz;Complejo manchado de grano;Helminthosporium sp.;2.4 kg/ha;SIN INFO;SIN INFO;;;;;;;;
AGUILA TM WG;Metiram;WG;Fungicida;0214;III;Arroz;Complejo manchado de grano;Cercospora oryzae;2.4 kg/ha;SIN INFO;SIN INFO;;;;;;;;
AGUILA TM WG;Metiram;WG;Fungicida;0214;III;Arroz;Complejo manchado de grano;Sarocladium oryzae;2.4 kg/ha;SIN INFO;SIN INFO;;;;;;;;
AGUILA TM WG;Metiram;WG;Fungicida;0214;III;Arroz;Complejo manchado de grano;Rynchosporium oryzae;2.4 kg/ha;SIN INFO;SIN INFO;;;;;;;;
AGUILA TM WG;Metiram;WG;Fungicida;0214;III;Papa;Gota;Phytophthora infestans;400 - 750 g/200 L de agua;14 días;SIN INFO;;;;;;;;
AGUILA TM WG;Metiram;WG;Fungicida;0214;III;Clavel;Mancha anillada;Cladosporium echinulatum;1.5 - 2.0 g/L;N.A.;SIN INFO;;;;;;;;
AGUILA TM WG;Metiram;WG;Fungicida;0214;III;Banano;Sigatoka negra;Mycosphaerella fijiensis;2.0 kg/ha;0 días;SIN INFO;;;;;;;;
AKITO® 38 EC;Permetrina;EC;Insecticida;1322;III;Papa;Pulguilla;Epitrix sp.;115 cc/ha;14 días;12 horas;;;;;;;;
AKITO® 38 EC;Permetrina;EC;Insecticida;1322;III;Papa;Polilla guatemalteca;Tecia solanivora;0.75 L/ha;14 días;12 horas;;;;;;;;
ALARM® 80 WP;Mancozeb;WP;Fungicida;3632;III;Arroz;Pudrición del cuello;Pyricularia oryzae;4.0 kg/ha;7 días;24 horas;;;;;;;;
ALARM® 80 WP;Mancozeb;WP;Fungicida;3632;III;Arroz;Mancha circular;Helminthosporium oryzae;4.0 kg/ha;7 días;24 horas;;;;;;;;
ALARM® 80 WP;Mancozeb;WP;Fungicida;3632;III;Arroz;Mancha lineal;Cercospora oryzae;4.0 kg/ha;7 días;24 horas;;;;;;;;
ALARM® 80 WP;Mancozeb;WP;Fungicida;3632;III;Papa;Gota;Phytophthora infestans;450 g/200 L de agua;14 días;24 horas;;;;;;;;
ALARM® 80 WP;Mancozeb;WP;Fungicida;3632;III;Papa;Gota temprena;Alternaria solani;450 g/200 L de agua;14 días;24 horas;;;;;;;;
ALARM® 80 WP;Mancozeb;WP;Fungicida;3632;III;Rosas;Mancha negra;Diplocarpon rosae;450 g/200 L de agua;N.A.;24 horas;;;;;;;;
ALARM® 80 WP;Mancozeb;WP;Fungicida;3632;III;Crisantemo;Moho gris;Botrytis cinerea;450 g/200 L de agua;N.A.;24 horas;;;;;;;;
ALARM® 80 WP;Mancozeb;WP;Fungicida;3632;III;Crisantemo;Tizón  ;Ascochyta sp.;450 g/200 L de agua;N.A.;24 horas;;;;;;;;
ALARM® 80 WP;Mancozeb;WP;Fungicida;3632;III;Crisantemo;Mancha foliar;Septoria leucanthemi;450 g/200 L de agua;N.A.;24 horas;;;;;;;;
ALARM® 80 WP;Mancozeb;WP;Fungicida;3632;III;Cebolla;Mancha púrpura;Alternaria porri;500 g/200 L de agua;7 días;24 horas;;;;;;;;
ALARM® 80 WP;Mancozeb;WP;Fungicida;3632;III;Cebolla;Añublo de la hoja;Botrytis sp.;500 g/200 L de agua;7 días;24 horas;;;;;;;;
ALARM® 80 WP;Mancozeb;WP;Fungicida;3632;III;Cebolla;Mildeo velloso   ;Peronospora destructor;500 g/200 L de agua;7 días;24 horas;;;;;;;;
ALARM® 80 WP;Mancozeb;WP;Fungicida;3632;III;Ajo;Mancha púrpura;Alternaria porri;500 g/200 L de agua;7 días;24 horas;;;;;;;;
ALARM® 80 WP;Mancozeb;WP;Fungicida;3632;III;Ajo;Añublo de la hoja;Botrytis sp.;500 g/200 L de agua;7 días;24 horas;;;;;;;;
ALARM® 80 WP;Mancozeb;WP;Fungicida;3632;III;Ajo;Mildeo velloso   ;Peronospora destructor;500 g/200 L de agua;7 días;24 horas;;;;;;;;
ALARM® 80 WP;Mancozeb;WP;Fungicida;3632;III;Coles;Mancha foliar;Alternaria brassicae;450 g/200 L de agua;14 días;24 horas;;;;;;;;
ALARM® 80 WP;Mancozeb;WP;Fungicida;3632;III;Coles;Mildeo velloso   ;Peronospora parasitica;450 g/200 L de agua;14 días;24 horas;;;;;;;;
ALARM® 80 WP;Mancozeb;WP;Fungicida;3632;III;Repollo;Mancha foliar;Alternaria brassicae;450 g/200 L de agua;14 días;24 horas;;;;;;;;
ALARM® 80 WP;Mancozeb;WP;Fungicida;3632;III;Repollo;Mildeo velloso   ;Peronospora parasitica;450 g/200 L de agua;14 días;24 horas;;;;;;;;
ALARM® 80 WP;Mancozeb;WP;Fungicida;3632;III;Coliflor;Mancha foliar;Alternaria brassicae;450 g/200 L de agua;14 días;24 horas;;;;;;;;
ALARM® 80 WP;Mancozeb;WP;Fungicida;3632;III;Coliflor;Mildeo velloso   ;Peronospora parasitica;450 g/200 L de agua;14 días;24 horas;;;;;;;;
ALARM® 80 WP;Mancozeb;WP;Fungicida;3632;III;Plátano;Sigatoka;Cercospora musae;2 kg en mezcla con aceite de aspersión agrícola;7 días;24 horas;;;;;;;;
ALARM® 80 WP;Mancozeb;WP;Fungicida;3632;III;Banano;Sigatoka;Cercospora musae;2 kg en mezcla con aceite de aspersión agrícola;7 días;24 horas;;;;;;;;
ALARM® 80 WP;Mancozeb;WP;Fungicida;3632;III;Cafeto;Mancha de hierro;Cercospora coffeicola;500 g/200 L de agua;7 días;24 horas;;;;;;;;
ALARM® 80 WP;Mancozeb;WP;Fungicida;3632;III;Cebada;Mancha de la hoja;Helminthosporium sp.;1.5 - 2.5 kg/ha;7 días;24 horas;;;;;;;;
ALARM® 80 WP;Mancozeb;WP;Fungicida;3632;III;Cebada;Escaldado;Rhynchosporium secalis;1.5 - 2.5 kg/ha;7 días;24 horas;;;;;;;;
ALARM® 80 WP;Mancozeb;WP;Fungicida;3632;III;Cebada;Roya del tallo;Puccinia graminis;1.5 - 2.5 kg/ha;7 días;24 horas;;;;;;;;
ALARM® 80 WP;Mancozeb;WP;Fungicida;3632;III;Cebada;Roya de la hoja;Puccinia hordei;1.5 - 2.5 kg/ha;7 días;24 horas;;;;;;;;
ALARM® 80 WP;Mancozeb;WP;Fungicida;3632;III;Cebada;Roya amarilla;Puccinia striiformis;1.5 - 2.5 kg/ha;7 días;24 horas;;;;;;;;
ALARM® 80 WP;Mancozeb;WP;Fungicida;3632;III;Trigo;Mancha de la hoja;Helminthosporium sp.;1.5 - 2.5 kg/ha;7 días;24 horas;;;;;;;;
ALARM® 80 WP;Mancozeb;WP;Fungicida;3632;III;Trigo;Escaldado;Rhynchosporium secalis;1.5 - 2.5 kg/ha;7 días;24 horas;;;;;;;;
